,Date,Trips over the past 24-hours (midnight to 11:59pm),Miles traveled today (midnight to 11:59 pm),Total Annual Members (All Time),24-Hour Passes Purchased (midnight to 11:59 pm),3-Day Passes Purchased (midnight to 11:59 pm)
73,3/15/2018,39572,72192,256724,462,66
74,3/16/2018,34921,62381,256763,383,55
75,3/17/2018,27671,62524,256823,1015,56
76,3/18/2018,25158,55182,256880,839,36
77,3/19/2018,39278,83086,256933,544,39
78,3/20/2018,35532,69573,256986,187,17
79,3/21/2018,3755,11799,257004,3,1
80,3/22/2018,27308,61715,257040,216,25
81,3/23/2018,38527,77668,257098,543,55
82,3/24/2018,34396,79562,257167,1755,88
83,3/25/2018,25562,62656,257226,710,24
84,3/26/2018,40295,88831,257315,718,87
85,3/27/2018,41354,88986,257378,524,63
86,3/28/2018,41880,80607,257447,586,64
87,3/29/2018,39288,84590,257501,544,65
88,3/30/2018,34784,78825,257584,1006,147
89,3/31/2018,41779,109399,257701,3856,151
0,4/1/18,33148,94040,257811,2363,264
1,4/2/18,22062,50418,257889,297,20
2,4/3/18,25883,59477,257942,189,21
3,4/4/18,36755,80049,258025,611,48
4,4/5/18,39814,87382,258086,972,112
5,4/6/18,35624,83643,258143,918,101
6,4/7/18,33245,79955,258231,1661,129
7,4/8/18,28410,67056,258324,1271,75
8,4/9/18,40509,87612,258423,614,62
9,4/10/18,43051,89629,258498,475,37
10,4/11/18,48612,104081,258599,894,114
11,4/12/18,53168,114400,258754,1095,146
12,4/13/18,63503,150894,258926,3168,262
13,4/14/18,62595,185232,259171,7643,346
14,4/15/18,20440,58497,259252,525,21
15,4/16/18,26288,65284,259344,452,31
16,4/17/18,44689,104884,259470,589,85
17,4/18/18,51110,112664,259583,996,152
18,4/19/18,38298,79890,259704,407,52
19,4/20/18,47049,101982,259820,1241,133
20,4/21/18,63594,179681,260015,3142,214
21,4/22/18,54282,149532,260257,5399,265
22,4/23/18,57764,131224,260545,1976,191
23,4/24/18,58523,126491,260740,1529,159
24,4/25/18,31213,63086,260861,403,36
25,4/26/18,66074,150788,261062,2578,294
26,4/27/18,39153,85566,261172,823,70
27,4/28/18,56735,158334,261434,6129,369
28,4/29/18,44825,130649,261651,3594,266
29,4/30/18,41074,91215,261874,751,66
30,5/1/18,72035,173896,262154,3155,390
31,5/2/18,76773,189852,262535,3270,329
32,5/3/18,69053,165326,262816,2931,282
33,5/4/18,71197,177291,263103,3595,360
34,5/5/18,63325,167568,263371,6557,334
35,5/6/18,48993,120205,263632,3484,289
36,5/7/18,68915,156297,263992,2973,311
37,5/8/18,74310,174749,264308,3046,356
38,5/9/18,78454,183295,264589,3038,303
39,5/10/18,67454,153260,264852,2408,275
40,5/11/18,75262,184114,265052,4240,314
41,5/12/18,34535,91563,265150,2227,92
42,5/13/18,25985,67247,265260,1237,58
43,5/14/18,64727,147144,265465,2553,273
44,5/15/18,52826,118790,265682,1949,186
45,5/16/18,32766,75694,265811,493,45
46,5/17/18,49788,107763,265936,1755,113
47,5/18/18,63112,146437,266075,2663,240
48,5/19/18,18026,45461,266135,639,53
49,5/20/18,56946,158983,266399,5458,304
50,5/21/18,71218,172936,266669,3551,267
51,5/22/18,48508,109420,266868,1090,103
52,5/23/18,72653,170812,267098,2952,294
53,5/24/18,74808,177631,267330,3417,294
54,5/25/18,69342,174715,267536,4381,336
55,5/26/18,51592,155957,267703,6129,417
56,5/27/18,25813,78075,267815,1631,82
57,5/28/18,49040,140226,268037,5148,267
58,5/29/18,69090,170334,268305,2896,249
59,5/30/18,72321,159297,268645,2742,216
60,5/31/18,55798,123710,268998,1414,101
61,6/1/18,62890,147780,269167,3049,250
62,6/2/18,60287,158528,269371,5634,307
63,6/3/18,50041,134416,269544,3892,154
64,6/4/18,58910,130774,269763,2372,166
65,6/5/18,71906,155007,269934,2682,199
66,6/6/18,69797,154726,270119,2479,173
67,6/7/18,70478,160532,270274,2808,198
68,6/8/18,72696,163188,270455,3915,283
69,6/9/18,65239,171623,270657,6917,292
70,6/10/18,41639,106867,270825,3136,112
71,6/11/18,68060,154381,271146,3044,243
72,6/12/18,76255,166828,271364,3260,215
73,6/13/18,64270,144934,271541,2044,104
74,6/14/18,75803,173109,271708,3359,227
75,6/15/18,72417,160081,271883,4005,296
76,6/16/18,63182,165240,272071,7037,339
77,6/17/18,56218,146611,272306,5760,232
78,6/18/18,63551,136481,272522,2498,206
79,6/19/18,72168,153883,272780,2902,230
80,6/20/18,74088,165836,272950,2929,231
81,6/21/18,70050,158375,273114,3026,262
82,6/22/18,71084,156062,273291,3736,263
83,6/23/18,51028,118620,273422,4172,207
84,6/24/18,55775,152057,273615,5862,232
85,6/25/18,71747,163026,273820,3441,221
86,6/26/18,80643,171973,274006,3442,254
87,6/27/18,67647,140557,274165,2457,183
88,6/28/18,50431,104860,274290,1967,154
89,6/29/18,69856,151785,274467,3940,326
90,6/30/18,54713,134347,274628,5425,360
0,7/1/18,45265,120484,274813,4209,211
1,7/2/18,58633,130122,275016,2702,241
2,7/3/18,54882,113998,275157,2358,199
3,7/4/18,48368,136287,275304,5662,250
4,7/5/18,59471,133659,275487,3344,264
5,7/6/18,49504,111660,275614,2650,189
6,7/7/18,60916,173852,275793,7284,349
7,7/8/18,60486,171826,275988,6667,310
8,7/9/18,70063,153650,276203,3103,283
9,7/10/18,72501,147441,276399,2999,227
10,7/11/18,73011,163349,276553,3049,170
11,7/12/18,74857,161182,276703,3520,231
12,7/13/18,72113,156285,276858,3998,294
13,7/14/18,62556,157266,277000,7241,334
14,7/15/18,52295,132234,277133,5121,248
15,7/16/18,67072,146307,277344,3101,278
16,7/17/18,48495,97913,277466,1558,129
17,7/18/18,75706,169481,277703,3578,247
18,7/19/18,78004,141327,277891,3938,280
19,7/20/18,74539,136511,278052,4590,275
20,7/21/18,53651,114977,278195,6266,309
21,7/22/18,44284,87253,278338,4316,244
22,7/23/18,53074,88170,278458,2277,152
23,7/24/18,69754,117924,278651,2957,162
24,7/25/18,42988,66587,278742,1474,124
25,7/26/18,71065,122885,278874,3321,252
26,7/27/18,49224,82987,278993,2526,251
27,7/28/18,61543,129505,279147,7004,361
28,7/29/18,63472,137343,279321,7244,250
29,7/30/18,69512,123639,279509,3490,333
30,7/31/18,76253,134233,279702,3637,246
31,8/1/18,64467,106881,279888,2673,185
32,8/2/18,69711,118282,280110,2998,217
33,8/3/18,61962,105765,280279,3145,247
34,8/4/18,51200,104541,280498,5352,198
35,8/5/18,58379,122656,280721,6289,309
36,8/6/18,65686,112585,280922,3022,281
37,8/7/18,64351,106678,281097,2640,201
38,8/8/18,70577,120473,281275,2911,267
39,8/9/18,71976,124150,281441,3379,238
40,8/10/18,69617,123534,281572,4266,280
41,8/11/18,36607,69505,281689,2994,141
42,8/12/18,59834,125265,281881,6407,281
43,8/13/18,44273,70501,281991,1563,82
44,8/14/18,63733,107144,282169,2592,211
45,8/15/18,73124,128453,282317,3565,266
46,8/16/18,70825,123444,282471,3511,276
47,8/17/18,63316,109405,282583,3563,232
48,8/18/18,57284,125508,282795,6672,351
49,8/19/18,45874,86651,282943,3926,155
50,8/20/18,67589,118793,283162,3312,224
51,8/21/18,75214,132261,283358,3683,257
52,8/22/18,72614,125978,283543,3366,225
53,8/23/18,73877,130310,283720,3975,331
54,8/24/18,72894,132952,283884,4794,320
55,8/25/18,64683,140537,284066,7535,345
56,8/26/18,60954,132223,284268,6928,302
57,8/27/18,67630,116967,284457,3350,242
58,8/28/18,66638,110486,284667,2814,150
59,8/29/18,65903,107006,284791,2766,171
60,8/30/18,67900,113385,284938,3218,164
61,8/31/18,58922,97818,285087,3186,180
62,9/1/18,54318,116904,285245,6711,439
63,9/2/18,60828,140923,285368,5562,292
64,9/3/18,55067,117164,285609,6239,279
65,9/4/18,68655,114264,285867,2793,215
66,9/5/18,74981,124919,286102,2934,191
67,9/6/18,70264,113123,286304,2678,207
68,9/7/18,74586,127470,286475,3523,227
69,9/8/18,58284,111254,286637,5442,270
70,9/9/18,19950,30544,286752,895,16
71,9/10/18,23949,32472,286847,463,26
72,9/11/18,66552,109380,286985,2456,193
73,9/12/18,53241,82748,287120,1650,115
74,9/13/18,74054,123401,287262,2874,197
75,9/14/18,74330,128288,287412,3623,298
76,9/15/18,71185,149524,287622,7570,353
77,9/16/18,69515,150281,287897,7410,270
78,9/17/18,71340,118809,288137,2914,162
79,9/18/18,53077,82768,288266,1433,74
80,9/19/18,74372,129089,288450,3529,290
81,9/20/18,76803,129385,288599,3130,235
82,9/21/18,74940,128273,288719,3677,224
83,9/22/18,69133,142121,289160,7511,298
84,9/23/18,55494,104944,289370,4716,184
85,9/24/18,71631,115888,289524,2615,289
86,9/25/18,25430,35795,289591,506,65
87,9/26/18,68007,110772,289698,2423,296
88,9/27/18,75370,126480,289829,3044,399
89,9/28/18,57230,90249,289911,1986,296
90,9/29/18,69321,145920,290170,6960,906
91,9/30/18,66224,139423,290467,6367,675
0,10/1/18,71387,120257,290631,2618,307
1,10/2/18,73113,122234,290788,2666,195
2,10/3/18,76769,129720,290947,3141,199
3,10/4/18,70698,116337,291073,2838,222
4,10/5/18,74744,129597,291166,3979,254
5,10/6/18,57599,110421,291298,5658,310
6,10/7/18,60753,127033,291425,6936,277
7,10/8/18,58256,95097,291549,2865,121
8,10/9/18,74251,123973,291672,2846,207
9,10/10/18,77317,132255,291765,3115,202
10,10/11/18,46862,70173,291862,1323,59
11,10/12/18,67686,113055,291962,3453,255
12,10/13/18,54747,100652,292029,2430,125
13,10/14/18,54297,103697,292158,4805,204
14,10/15/18,59181,92219,292262,1958,95
15,10/16/18,66661,104171,292370,2200,158
16,10/17/18,67868,107762,292469,2341,134
17,10/18/18,61668,94356,292519,1969,143
18,10/19/18,64735,105730,292604,3012,192
19,10/20/18,56281,109142,292711,5644,309
20,10/21/18,39192,64764,292811,2488,100
21,10/22/18,57919,88293,292899,1721,133
22,10/23/18,68086,110293,292992,2356,181
23,10/24/18,64203,98615,293077,1942,97
24,10/25/18,61637,95827,293309,2003,146
25,10/26/18,59861,92569,293508,2292,131
26,10/27/18,13124,17949,293542,333,11
27,10/28/18,42502,74540,293611,3134,154
28,10/29/18,60028,92882,293722,1853,156
29,10/30/18,65545,102834,293819,1957,141
30,10/31/18,68447,114039,294007,2544,225
31,11/1/18,74260,128502,294111,3288,245
32,11/2/18,63746,105906,294186,2817,237
33,11/3/18,49127,89639,294256,4200,199
34,11/4/18,50713,98021,294329,5107,99
35,11/5/18,33345,47328,294396,776,31
36,11/6/18,40271,56313,294442,1186,29
37,11/7/18,67925,112354,294527,2590,189
38,11/8/18,64441,103621,294595,2191,146
39,11/9/18,36952,54282,294647,1064,63
40,11/10/18,37809,63740,294689,2649,132
41,11/11/18,36612,64197,294744,2763,78
42,11/12/18,51341,79338,294792,1707,79
43,11/13/18,36957,52453,294838,751,27
44,11/14/18,49621,70932,294882,935,30
45,11/15/18,24948,35594,294900,407,24
46,11/16/18,34447,49576,294915,761,48
47,11/17/18,37974,61206,294951,2257,56
48,11/18/18,34390,55093,294988,1916,45
49,11/19/18,54540,83935,295037,1522,84
50,11/20/18,51910,75746,295070,1259,37
51,11/21/18,40417,58441,295112,1050,39
52,11/22/18,8798,12626,295200,369,20
53,11/23/18,16107,23143,295439,597,26
54,11/24/18,20087,32011,295530,1137,41
55,11/25/18,34519,60831,295688,2521,36
56,11/26/18,29189,42333,296251,499,18
57,11/27/18,49979,74556,296351,802,31
58,11/28/18,48433,69352,296405,777,29
59,11/29/18,51468,76715,296452,1054,51
60,11/30/18,46001,67098,296497,1065,47
61,12/1/18,37989,62304,296553,2256,37
62,12/2/18,18418,26501,296584,554,11
63,12/3/18,53974,85524,296664,1308,62
64,12/4/18,49058,71843,296708,867,27
65,12/5/18,46779,67536,296753,814,38
66,12/6/18,46543,66885,296798,910,40
67,12/7/18,43841,63353,296843,948,52
68,12/8/18,29909,44552,296867,1271,46
69,12/9/18,27547,40886,296897,1064,23
70,12/10/18,43358,62699,296938,762,25
71,12/11/18,47335,68321,296974,823,20
72,12/12/18,47717,68600,297005,748,28
73,12/13/18,40736,57295,297042,593,14
74,12/14/18,44775,66633,297078,1137,44
75,12/15/18,36423,57244,297119,1902,45
76,12/16/18,9835,13599,297131,203,4
77,12/17/18,45382,66449,297173,909,32
78,12/18/18,41703,58360,297205,656,22
79,12/19/18,44096,63165,297238,877,22
80,12/20/18,34026,48713,297269,751,20
81,12/21/18,23996,34450,297290,481,24
82,12/22/18,24870,36653,297327,1088,25
83,12/23/18,22230,35921,297355,1298,37
84,12/24/18,18990,27246,297387,681,18
85,12/25/18,11177,21483,297426,1080,38
86,12/26/18,25358,39176,297487,1118,49
87,12/27/18,31169,48943,297527,1510,51
88,12/28/18,12039,17576,297555,334,25
89,12/29/18,29037,54116,297622,2677,104
90,12/30/18,22536,37741,297682,1562,51
91,12/31/18,18936,29794,297748,962,31
0,1/1/19,22145,44131,297823,2429,49
1,1/2/19,38249,58975,297908,1062,36
2,1/3/19,42181,62500,297976,969,31
3,1/4/19,44420,65739,298017,1173,33
4,1/5/19,17636,24326,298048,462,8
5,1/6/19,31764,50481,298094,1711,31
6,1/7/19,36928,52310,298152,514,18
7,1/8/19,41728,60469,298218,654,23
8,1/9/19,44882,63480,298263,646,23
9,1/10/19,39449,53225,298299,478,13
10,1/11/19,33196,44226,298331,465,23
11,1/12/19,25431,35133,298361,772,26
12,1/13/19,23020,33018,298399,700,18
13,1/14/19,35408,48021,298439,402,9
14,1/15/19,39538,54751,298470,511,19
15,1/16/19,40854,56553,298510,513,7
16,1/17/19,39417,53430,298546,463,14
17,1/18/19,34478,47215,298574,542,27
18,1/19/19,23933,34580,298595,865,28
19,1/20/19,14440,19131,298616,368,8
20,1/21/19,10392,11911,298632,141,5
21,1/22/19,28913,37788,298665,315,14
22,1/23/19,42028,59442,298692,526,10
23,1/24/19,20328,27931,298721,260,7
24,1/25/19,39298,54567,298748,621,21
25,1/26/19,26607,38634,298778,933,18
26,1/27/19,30338,48280,298828,1510,19
27,1/28/19,36173,49109,298878,448,13
28,1/29/19,31355,42066,298919,341,12
29,1/30/19,25496,33178,298947,263,8
30,1/31/19,18882,22917,298975,186,8
31,2/1/19,25289,31752,298998,255,11
32,2/2/19,22280,30802,299032,627,19
33,2/3/19,32274,52757,299103,1743,24
34,2/4/19,47049,73262,299172,1180,42
35,2/5/19,54710,87917,299249,1770,42
36,2/6/19,39616,55696,299296,754,27
37,2/7/19,43840,62728,299341,765,22
38,2/8/19,36964,52442,299383,864,22
39,2/9/19,24041,33607,299409,811,10
40,2/10/19,24434,35873,299449,935,6
41,2/11/19,39197,54362,299493,563,20
42,2/12/19,16044,22190,299521,150,4
43,2/13/19,35523,48870,299551,439,21
44,2/14/19,42313,61381,299589,773,26
45,2/15/19,47524,74286,299633,1590,58
46,2/16/19,31347,52760,299683,2030,58
47,2/17/19,24287,39660,299711,1439,30
48,2/18/19,26176,37500,299757,810,17
49,2/19/19,35226,49024,299810,595,10
50,2/20/19,20694,28763,299835,221,15
51,2/21/19,40082,60375,299871,961,37
52,2/22/19,42338,61956,299913,1097,49
53,2/23/19,31956,49887,299956,1635,28
54,2/24/19,24503,37473,299993,992,19
55,2/25/19,34736,47207,300029,495,14
56,2/26/19,38126,52805,300067,524,23
57,2/27/19,37028,48666,300097,464,27
58,2/28/19,38784,53031,300157,652,30
59,3/1/19,30242,41583,300183,522,26
60,3/2/19,18001,27381,300213,570,25
61,3/3/19,23240,35764,300264,1115,22
62,3/4/19,28424,39154,300319,563,23
63,3/5/19,37103,50155,300367,552,24
64,3/6/19,33287,42845,300409,376,27
65,3/7/19,35913,46582,300450,468,15
66,3/8/19,40416,55748,300503,852,32
67,3/9/19,38929,68739,300574,3010,35
68,3/10/19,18897,28056,300611,662,16
69,3/11/19,52412,80705,300691,1749,56
70,3/12/19,47214,66518,300757,1003,40
71,3/13/19,50121,71556,300825,1194,42
72,3/14/19,57476,86864,300904,1826,82
73,3/15/19,57517,95073,300987,2843,119
74,3/16/19,42144,74307,301086,3369,97
75,3/17/19,36826,64440,301187,2755,73
76,3/18/19,46535,68775,301278,1361,54
77,3/19/19,52997,78320,301381,1602,49
78,3/20/19,55396,83442,301476,1723,58
79,3/21/19,21248,27005,301520,342,14
80,3/22/19,35477,49691,301579,1076,51
81,3/23/19,37379,61407,301671,2693,74
82,3/24/19,50318,100843,301827,5896,79
83,3/25/19,53463,79824,301952,1562,64
84,3/26/19,55421,81425,302083,1715,49
85,3/27/19,54483,78975,302176,1583,56
86,3/28/19,58538,87465,302430,1966,87
87,3/29/19,59324,91975,302587,2573,103
88,3/30/19,66672,144759,302941,9151,135
89,3/31/19,32768,52486,303060,1916,52
0,4/1/19,51399,75072,303223,1466,76
1,4/2/19,57903,83399,303386,1483,73
2,4/3/19,67924,108780,303552,3013,79
3,4/4/19,66403,104268,303699,2633,87
4,4/5/19,34470,46930,303766,812,46
5,4/6/19,66532,143054,303958,8852,139
6,4/7/19,64713,138291,304216,8191,87
7,4/8/19,70514,123304,304525,3804,89
8,4/9/19,59336,86248,304677,1684,79
9,4/10/19,70988,112985,304865,2845,116
10,4/11/19,62430,93232,305003,2222,93
11,4/12/19,58010,92517,305134,2811,118
12,4/13/19,71500,159264,305362,10443,128
13,4/14/19,58474,123470,305584,7263,119
14,4/15/19,45663,71673,305722,1816,75
15,4/16/19,63323,106799,305906,3197,134
16,4/17/19,65249,109668,306077,3276,89
17,4/18/19,61568,98909,306205,2845,104
18,4/19/19,64939,120796,306365,5782,271
19,4/20/19,36785,68489,306453,4049,115
20,4/21/19,51869,114490,306647,7439,140
21,4/22/19,44112,71869,306827,3426,69
22,4/23/19,75443,143334,307082,5928,202
23,4/24/19,77736,144473,307320,5868,135
24,4/25/19,60834,101124,307484,3569,114
25,4/26/19,37121,55000,307578,1387,76
26,4/27/19,56442,111440,307737,7022,151
27,4/28/19,41204,68976,307862,3338,87
28,4/29/19,60801,98707,308020,2829,104
29,4/30/19,62668,99225,308192,2715,94
30,5/1/19,60904,93434,308383,2285,106
31,5/2/19,68714,115573,308575,3763,171
32,5/3/19,62410,100885,308738,3452,151
33,5/4/19,56025,114113,308919,7286,110
34,5/5/19,16169,25232,308988,802,16
35,5/6/19,69920,121887,309187,4178,166
36,5/7/19,72829,126637,309356,4055,124
37,5/8/19,76398,130821,309530,4255,131
38,5/9/19,66689,105721,309646,2851,130
39,5/10/19,68044,114830,309790,4427,163
40,5/11/19,69788,153674,310021,10581,133
41,5/12/19,10730,15759,310063,475,9
42,5/13/19,22300,29434,310141,553,19
43,5/14/19,42783,61756,310248,1301,73
44,5/15/19,74314,129217,310395,4484,140
45,5/16/19,77889,139278,310590,5354,174
46,5/17/19,72118,126992,310760,5124,167
47,5/18/19,73143,162302,310992,11292,227
48,5/19/19,69920,154638,311245,10321,193
49,5/20/19,74494,133696,311495,5225,173
50,5/21/19,79261,139284,311686,5088,160
51,5/22/19,82021,144186,311888,5431,153
52,5/23/19,56578,93244,312082,3527,121
53,5/24/19,74866,141169,312276,7322,245
54,5/25/19,59492,136772,312484,10682,279
55,5/26/19,49950,118192,312648,9325,145
56,5/27/19,66595,160750,312896,12124,136
57,5/28/19,59435,97330,313092,2992,96
58,5/29/19,55098,87647,313251,2952,111
59,5/30/19,52484,84325,313402,2831,129
60,5/31/19,83347,156832,313606,7586,261
61,6/1/19,76416,164956,313815,12153,214
62,6/2/19,67288,147247,314051,10419,144
63,6/3/19,77678,141960,314327,6027,152
64,6/4/19,83301,150076,314642,6422,168
65,6/5/19,78791,134998,314889,5166,143
66,6/6/19,81323,143619,315121,6138,183
67,6/7/19,82908,150312,315337,7530,256
68,6/8/19,78074,175352,315583,13831,206
69,6/9/19,73954,167597,315861,12833,121
70,6/10/19,37019,54769,316007,1566,44
